memodo_id;kategorie;hersteller;bezeichnung;listenpreis_netto_eur;preisstand;hinweis
14646;Gewerbe;Dyness;Dyness BF100-C100;15200.0;2026-09-22;prüfen: Leistung/Kapazität unklar
14429;Gewerbe;Dyness;Dyness Stack 100 30,72 kWh mit Solinteg MHT-15K-40;5791.0;2026-09-22;
15838;Gewerbe;Dyness;Dyness Stack 100 40,96 kWh mit Solinteg MHT-20K-40;7199.0;2026-09-22;
16406;Gewerbe;Dyness;Kostal & Dyness Commercial M;13350.0;2026-09-22;
16405;Gewerbe;Dyness;Kostal & Dyness Commercial S;11200.0;2026-09-22;
16404;Gewerbe;Dyness;Kostal & Dyness Retrofit L;10950.0;2026-09-22;prüfen: Retrofit
16403;Gewerbe;Dyness;Kostal & Dyness Retrofit M;9100.0;2026-09-22;prüfen: Retrofit
16402;Gewerbe;Dyness;Kostal & Dyness Retrofit S;6650.0;2026-09-22;prüfen: Retrofit = AC-gekoppelt an Bestands-PV?
15923;Gewerbe;Dyness;SMA Sunny Island X 30 mit Dyness Stack 100 - 51,20kWh;14756.0;2026-09-22;
15924;Gewerbe;Dyness;SMA Sunny Island X 50 mit Dyness Stack 100 - 76,80kWh;19189.0;2026-09-22;
12956;Gewerbe;Fox ESS;Fox ESS G-Max GM215kWh-100kW-2h;36000.0;2026-09-22;
12921;Gewerbe;GoodWe;GoodWe BAT60 mit ET 29.9 - Speicherpaket;15014.0;2026-09-22;
14807;Gewerbe;GoodWe;GoodWe Blackout Ready Paket (BAT112 + ET100 + STS);24127.0;2026-09-22;
13784;Gewerbe;GoodWe;GoodWe ESA 125/261;41850.0;2026-09-22;
12984;Gewerbe;GoodWe;GoodWe Lynx D 30 kWh mit GoodWe ET - GW29.9K-ET;10138.0;2026-09-22;
12985;Gewerbe;GoodWe;GoodWe Lynx D 40 kWh mit GoodWe ET - GW29.9K-ET;12676.0;2026-09-22;
14238;Gewerbe;Pylontech;Pylontech Cabinet OPTIM US L260-OMNI - 125kW/260kWh;39700.0;2026-09-22;
15825;Gewerbe;SMA;SMA Storage XL Indoor 197kWh/50kW;35600.0;2026-09-22;
15821;Gewerbe;SMA;SMA Storage XL Indoor 89kWh/30kW;22100.0;2026-09-22;
15822;Gewerbe;SMA;SMA Storage XL Indoor 89kWh/50kW;23000.0;2026-09-22;
15823;Gewerbe;SMA;SMA Storage XL Outdoor 107kWh/30kW;30900.0;2026-09-22;
15824;Gewerbe;SMA;SMA Storage XL Outdoor 107kWh/50kW;31700.0;2026-09-22;
15826;Gewerbe;SMA;SMA Storage XL Outdoor 197kWh/50kW;42250.0;2026-09-22;
16259;Gewerbe;SolarEdge;2x SolarEdge CSS-OD 102.4 kWh/50 kW;57000.0;2026-09-22;Bundle 2 Einheiten
12650;Gewerbe;SolarEdge;SolarEdge CSS-OD 102.4 kWh/50 kW;30925.0;2026-09-22;
15687;Gewerbe;SolarEdge;SolarEdge CSS-OD 107kWh / 50 kW mit Backup;33925.0;2026-09-22;
15921;Gewerbe;SolarEdge;SolarEdge CSS-OD 197 kWh/100 kW;47000.0;2026-09-22;
15920;Gewerbe;SolarEdge;SolarEdge CSS-OD 197 kWh/50 kW;44000.0;2026-09-22;
15879;Gewerbe;Solinteg;Solinteg E2BR-S64K-C mit M2HT-30K-150;14062.0;2026-09-22;
15880;Gewerbe;Solinteg;Solinteg E2BR-S96K-C mit M2HT-50K-150;17200.0;2026-09-22;
15670;Gewerbe;Sungrow;Sungrow PowerKeeper ST250CF + SH125CX;48379.0;2026-09-22;
15673;Gewerbe;Sungrow;Sungrow PowerKeeper ST50CF + SH125CX;14984.0;2026-09-22;
12957;Gewerbe;Sungrow;Sungrow PowerStack ST225kWh-110kW-2h;37000.0;2026-09-22;
15106;Gewerbe;Sungrow;Sungrow PowerStack ST255CS-2H;38800.0;2026-09-22;
14591;Gewerbe;Sungrow;Sungrow Powerstack ST510kWh-125kW-4h;78000.0;2026-09-22;
14147;Heim;BYD;BYD Battery-Box HVB 11.8 mit 11,88kWh;3773.0;2026-09-22;
14148;Heim;BYD;BYD Battery-Box HVB 14.8 mit 14,85kWh;4619.0;2026-09-22;
14149;Heim;BYD;BYD Battery-Box HVB 17.8 mit 17,82kWh;5465.0;2026-09-22;
14150;Heim;BYD;BYD Battery-Box HVB 20.7 mit 20,79kWh;6311.0;2026-09-22;
14152;Heim;BYD;BYD Battery-Box HVB 23.7 mit 23,76kWh;7157.0;2026-09-22;
14153;Heim;BYD;BYD Battery-Box HVB 26.7 mit 26,72kWh;8003.0;2026-09-22;
14154;Heim;BYD;BYD Battery-Box HVB 29.6 mit 29,69kWh;8849.0;2026-09-22;
14144;Heim;BYD;BYD Battery-Box HVB 5.9 mit 5,94kWh;2081.0;2026-09-22;
14146;Heim;BYD;BYD Battery-Box HVB 8.9 mit 8,91kWh;2927.0;2026-09-22;
14322;Heim;BYD;BYD Battery-Box HVM+ 11.0;3337.0;2026-09-22;
14324;Heim;BYD;BYD Battery-Box HVM+ 13.8;4074.0;2026-09-22;
14326;Heim;BYD;BYD Battery-Box HVM+ 16.6;4811.0;2026-09-22;
14327;Heim;BYD;BYD Battery-Box HVM+ 19.3;5548.0;2026-09-22;
14328;Heim;BYD;BYD Battery-Box HVM+ 22.1;6285.0;2026-09-22;
14321;Heim;BYD;BYD Battery-Box HVM+ 8.3;2600.0;2026-09-22;
14323;Heim;BYD;BYD Battery-Box HVS+ 10.2;3097.0;2026-09-22;
14325;Heim;BYD;BYD Battery-Box HVS+ 12.8;3774.0;2026-09-22;
14299;Heim;BYD;BYD Battery-Box HVS+ 5.1;1743.0;2026-09-22;
14320;Heim;BYD;BYD Battery-Box HVS+ 7.7;2420.0;2026-09-22;
14253;Heim;Dyness;Dyness Stack 100 - 15,36kWh;2835.0;2026-09-22;
14254;Heim;Dyness;Dyness Stack 100 - 20,48kWh;3564.0;2026-09-22;
14255;Heim;Dyness;Dyness Stack 100 - 25,60kWh;4293.0;2026-09-22;
14256;Heim;Dyness;Dyness Stack 100 - 30,72kWh;5022.0;2026-09-22;
14115;Heim;Dyness;Dyness Tower Pro TP11;2128.0;2026-09-22;prüfen: Hoch- oder Niedervolt
14117;Heim;Dyness;Dyness Tower Pro TP15;2716.0;2026-09-22;prüfen: Hoch- oder Niedervolt
14118;Heim;Dyness;Dyness Tower Pro TP19;3304.0;2026-09-22;prüfen: Hoch- oder Niedervolt
14119;Heim;Dyness;Dyness Tower Pro TP23;3892.0;2026-09-22;prüfen: Hoch- oder Niedervolt
14116;Heim;Dyness;Dyness Tower Pro TP7;1540.0;2026-09-22;prüfen: Hoch- oder Niedervolt
15745;Heim;E3/DC;E3/DC one 12 mit Backup;7450.0;2026-09-22;
15713;Heim;E3/DC;E3/DC one 6 mit Backup;5150.0;2026-09-22;
15744;Heim;E3/DC;E3/DC one 9 mit Backup;6250.0;2026-09-22;
12874;Heim;Fox ESS;Fox ESS EK11 - 10,36 kWh;2090.0;2026-09-22;prüfen: Spannungsebene
13643;Heim;Fox ESS;Fox ESS EK12 - 11,52 kWh;2185.0;2026-09-22;prüfen: Spannungsebene
13644;Heim;Fox ESS;Fox ESS EK6 - 5,76 kWh;1093.0;2026-09-22;prüfen: Spannungsebene
14531;Heim;Fox ESS;Fox ESS EQ3300 - 12,8 kWh;3312.0;2026-09-22;
14532;Heim;Fox ESS;Fox ESS EQ3300 - 16,0 kWh;4140.0;2026-09-22;
14533;Heim;Fox ESS;Fox ESS EQ3300 - 19,2 kWh;4968.0;2026-09-22;
14468;Heim;Fox ESS;Fox ESS EQ3300 - 6,4 kWh;1656.0;2026-09-22;
14529;Heim;Fox ESS;Fox ESS EQ3300 - 9,6 kWh;2484.0;2026-09-22;
14535;Heim;Fox ESS;Fox ESS EQ5000 - 14,76 kWh;3720.0;2026-09-22;
14536;Heim;Fox ESS;Fox ESS EQ5000 - 19,68 kWh;4960.0;2026-09-22;
14537;Heim;Fox ESS;Fox ESS EQ5000 - 24,60 kWh;6200.0;2026-09-22;
14538;Heim;Fox ESS;Fox ESS EQ5000 - 29,52 kWh;7440.0;2026-09-22;
14534;Heim;Fox ESS;Fox ESS EQ5000 - 9,84 kWh;2480.0;2026-09-22;
13195;Heim;Fronius;Fronius Reserva 12.6 Hochvoltbatterie;4211.0;2026-09-22;
13196;Heim;Fronius;Fronius Reserva 15.8 Hochvoltbatterie;5065.0;2026-09-22;
13189;Heim;Fronius;Fronius Reserva 6.3 Hochvoltbatterie;2503.0;2026-09-22;
13190;Heim;Fronius;Fronius Reserva 9.5 Hochvoltbatterie;3357.0;2026-09-22;
14877;Heim;Fronius;Fronius Reserva Pro 12.0;4782.0;2026-09-22;
14919;Heim;Fronius;Fronius Reserva Pro 16.0;6081.0;2026-09-22;
14920;Heim;Fronius;Fronius Reserva Pro 20.0;7380.0;2026-09-22;
14922;Heim;Fronius;Fronius Reserva Pro 24.0;8679.0;2026-09-22;
14923;Heim;Fronius;Fronius Reserva Pro 28.0;9978.0;2026-09-22;
14924;Heim;Fronius;Fronius Reserva Pro 32.0;11277.0;2026-09-22;
12789;Heim;GoodWe;GoodWe Lynx D - Batteriespeicher 5 kWh;1269.0;2026-09-22;
13061;Heim;GoodWe;GoodWe Lynx D - Batteriespeicherturm 10 kWh;2538.0;2026-09-22;
13063;Heim;GoodWe;GoodWe Lynx D - Batteriespeicherturm 15 kWh;3807.0;2026-09-22;
13062;Heim;GoodWe;GoodWe Lynx D - Batteriespeicherturm 20 kWh;5076.0;2026-09-22;
14485;Heim;Kostal;KOSTAL HELIVOR HV 12,8 kWh;3979.0;2026-09-22;
14486;Heim;Kostal;KOSTAL HELIVOR HV 16 kWh;4801.0;2026-09-22;
14487;Heim;Kostal;KOSTAL HELIVOR HV 19,2 kWh;5623.0;2026-09-22;
14488;Heim;Kostal;KOSTAL HELIVOR HV 22,4 kWh;6445.0;2026-09-22;
14489;Heim;Kostal;KOSTAL HELIVOR HV 25,6 kWh;7267.0;2026-09-22;
14490;Heim;Kostal;KOSTAL HELIVOR HV 28,8 kWh;8089.0;2026-09-22;
14483;Heim;Kostal;KOSTAL HELIVOR HV 6,4 kWh;2335.0;2026-09-22;
14484;Heim;Kostal;KOSTAL HELIVOR HV 9,6 kWh;3157.0;2026-09-22;
7746;Heim;LG Energy Solution;LG RESU FLEX 12.9;1499.0;2026-09-22;
7745;Heim;LG Energy Solution;LG RESU FLEX 8.6;999.0;2026-09-22;
13572;Heim;Pylontech;Pylontech Force H3 10,24 kWh;1987.0;2026-09-22;
13573;Heim;Pylontech;Pylontech Force H3 15,36 kWh;2752.0;2026-09-22;
13574;Heim;Pylontech;Pylontech Force H3 20,48 kWh;3517.0;2026-09-22;
13575;Heim;Pylontech;Pylontech Force H3 25,60 kWh;4282.0;2026-09-22;
13576;Heim;Pylontech;Pylontech Force H3 30,72 kWh;5047.0;2026-09-22;
13577;Heim;Pylontech;Pylontech Force H3 35,84 kWh;5812.0;2026-09-22;
11833;Heim;RCT Power;RCT Power Battery 11.5-2;3499.0;2026-09-22;
11837;Heim;RCT Power;RCT Power Battery 3.8-2;1387.0;2026-09-22;
11836;Heim;RCT Power;RCT Power Battery 5.7-2;1915.0;2026-09-22;
11835;Heim;RCT Power;RCT Power Battery 7.6-2;2443.0;2026-09-22;
11834;Heim;RCT Power;RCT Power Battery 9.6-2;2971.0;2026-09-22;
12271;Heim;RCT Power;RCT Power Battery DT 15.4;4886.0;2026-09-22;
12272;Heim;RCT Power;RCT Power Battery DT 19.2;5942.0;2026-09-22;
12273;Heim;RCT Power;RCT Power Battery DT 23.0;6998.0;2026-09-22;
10524;Heim;SMA;SMA Home Storage 13.1;4516.0;2026-09-22;
10525;Heim;SMA;SMA Home Storage 16.4;5645.0;2026-09-22;
10333;Heim;SMA;SMA Home Storage 3.2;1129.0;2026-09-22;
10522;Heim;SMA;SMA Home Storage 6.5;2258.0;2026-09-22;
10523;Heim;SMA;SMA Home Storage 9.8;3387.0;2026-09-22;
15905;Heim;SMA;SMA Storage M 12.3;3631.0;2026-09-22;
15906;Heim;SMA;SMA Storage M 16.4;4710.0;2026-09-22;
15907;Heim;SMA;SMA Storage M 20.5;5788.0;2026-09-22;
15908;Heim;SMA;SMA Storage M 24.6;6866.0;2026-09-22;
