memodo_id;usable_capacity_kwh;max_power_kw;round_trip_efficiency;rte_source;requires_foundation;datasheet_url;rechenweg
13189;6.31;6.55;0.88;annahme;false;https://www.fronius.com/en/~/downloads/Solar%20Energy/Datasheets/SE_DS_Fronius_Reserva_EN.pdf;H2-A: Datenblatt nennt "Usable energy 6.31 kWh" direkt. Leistung "Maximum charge/discharge power 6.55 kW" (einziger Leistungswert, kein getrennter Spitzenwert, = Nennspannung 204,8 V x max. Ausgangsstrom 32 A). Wirkungsgrad 0,88 angenommen: Blatt nennt nur "Battery efficiency 95 %" (Batterie/DC, 0,2C) - kein System-Round-Trip. Installation "Indoor and protected outdoor areas", kein Outdoor-Schrank.
13190;9.47;9.83;0.88;annahme;false;https://www.fronius.com/en/~/downloads/Solar%20Energy/Datasheets/SE_DS_Fronius_Reserva_EN.pdf;H2-A: Datenblatt nennt "Usable energy 9.47 kWh" direkt. Leistung "Maximum charge/discharge power 9.83 kW" (einziger Leistungswert, kein getrennter Spitzenwert, = Nennspannung 307,2 V x max. Ausgangsstrom 32 A). Wirkungsgrad 0,88 angenommen: Blatt nennt nur "Battery efficiency 95 %" (Batterie/DC, 0,2C) - kein System-Round-Trip. Installation "Indoor and protected outdoor areas", kein Outdoor-Schrank.
13196;15.79;16.38;0.88;annahme;false;https://www.fronius.com/en/~/downloads/Solar%20Energy/Datasheets/SE_DS_Fronius_Reserva_EN.pdf;H2-A: Datenblatt nennt "Usable energy 15.79 kWh" direkt. Leistung "Maximum charge/discharge power 16.38 kW" (einziger Leistungswert, kein getrennter Spitzenwert, = Nennspannung 512 V x max. Ausgangsstrom 32 A). Wirkungsgrad 0,88 angenommen: Blatt nennt nur "Battery efficiency 95 %" (Batterie/DC, 0,2C) - kein System-Round-Trip. Installation "Indoor and protected outdoor areas", kein Outdoor-Schrank.
10522;6.56;6.912;0.88;annahme;false;https://files.sma.de/downloads/HS-BM-10-DS-en-16.pdf;H2-A: Datenblatt nennt "Usable energy capacity 6.56 kWh" direkt (100 % DoD, 0,2C). Leistung = Nennspannung 192 V x "Max. charging / discharging current 36 A" = 6,912 kW (Blatt nennt keinen kW-Wert und keinen getrennten Spitzenstrom). Wirkungsgrad 0,88 angenommen: Blatt nennt nur "Battery efficiency 94.5 %" (Batterie/DC) - kein System-Round-Trip. Montage Boden/Wand, kein Outdoor-Schrank.
10523;9.84;10.368;0.88;annahme;false;https://files.sma.de/downloads/HS-BM-10-DS-en-16.pdf;H2-A: Datenblatt nennt "Usable energy capacity 9.84 kWh" direkt (100 % DoD, 0,2C). Leistung = Nennspannung 288 V x "Max. charging / discharging current 36 A" = 10,368 kW (Blatt nennt keinen kW-Wert und keinen getrennten Spitzenstrom). Wirkungsgrad 0,88 angenommen: Blatt nennt nur "Battery efficiency 94.5 %" (Batterie/DC) - kein System-Round-Trip. Montage Boden/Wand, kein Outdoor-Schrank.
10525;16.4;17.28;0.88;annahme;false;https://files.sma.de/downloads/HS-BM-10-DS-en-16.pdf;H2-A: Datenblatt nennt "Usable energy capacity 16.40 kWh" direkt (100 % DoD, 0,2C). Leistung = Nennspannung 480 V x "Max. charging / discharging current 36 A" = 17,28 kW (Blatt nennt keinen kW-Wert und keinen getrennten Spitzenstrom). Wirkungsgrad 0,88 angenommen: Blatt nennt nur "Battery efficiency 94.5 %" (Batterie/DC) - kein System-Round-Trip. Montage Boden/Wand, kein Outdoor-Schrank.
14144;5.94;5.12;0.88;annahme;false;https://www.bydenergy.com/material/energy_stroage/serviceandsupport/downloadcenter/pdf/pl/hvb/datasheet/Datasheet_Battery-Box%20HVB_V1.5_EN.pdf;H2-A: Datenblatt nennt "Usable Energy 5.94 kWh" direkt (DC, 100 % DoD, 0,2C). Leistung = Nennspannung 102,4 V x "Max Output Current 50 A" = 5,12 kW (Spitzenstrom 98 A fuer 15 s nicht verwendet). Wirkungsgrad 0,88 angenommen: "Round-trip Efficiency >= 95 %" ist ein Batterie-/DC-Wert ohne Umrichterdurchgang - kein System-Round-Trip. "Floor installation", kein Outdoor-Schrank.
14147;11.88;10.24;0.88;annahme;false;https://www.bydenergy.com/material/energy_stroage/serviceandsupport/downloadcenter/pdf/pl/hvb/datasheet/Datasheet_Battery-Box%20HVB_V1.5_EN.pdf;H2-A: Datenblatt nennt "Usable Energy 11.88 kWh" direkt (DC, 100 % DoD, 0,2C). Leistung = Nennspannung 204,8 V x "Max Output Current 50 A" = 10,24 kW (Spitzenstrom 98 A fuer 15 s nicht verwendet). Wirkungsgrad 0,88 angenommen: "Round-trip Efficiency >= 95 %" ist ein Batterie-/DC-Wert ohne Umrichterdurchgang - kein System-Round-Trip. "Floor installation", kein Outdoor-Schrank.
14148;14.85;12.8;0.88;annahme;false;https://www.bydenergy.com/material/energy_stroage/serviceandsupport/downloadcenter/pdf/pl/hvb/datasheet/Datasheet_Battery-Box%20HVB_V1.5_EN.pdf;H2-A: Datenblatt nennt "Usable Energy 14.85 kWh" direkt (DC, 100 % DoD, 0,2C). Leistung = Nennspannung 256 V x "Max Output Current 50 A" = 12,8 kW (Spitzenstrom 98 A fuer 15 s nicht verwendet). Wirkungsgrad 0,88 angenommen: "Round-trip Efficiency >= 95 %" ist ein Batterie-/DC-Wert ohne Umrichterdurchgang - kein System-Round-Trip. "Floor installation", kein Outdoor-Schrank.
14483;6.1;6.4;0.88;annahme;false;https://www.kostal-solar-electric.com/fileadmin/downloadcenter/kse/DB/HELIVOR/DB_HELIVOR-HV_de.pdf;H2-A: Datenblatt nennt zwei nutzbare Kapazitaeten, "100% DoD 6,4 kWh" und "95% DoD 6,1 kWh" - der niedrigere Wert ist uebernommen. Leistung = Nennspannung 128 V x "Max. Lade-/Entladestrom Batteriesystem 50 A" = 6,4 kW (Peak 65 A fuer 5 s nicht verwendet). Wirkungsgrad 0,88 angenommen: "Zykluswirkungsgrad >= 96 %" ist ein Batteriewert ohne Umrichterdurchgang - kein System-Round-Trip. Innen- und Aussenbereich (IP65), kein Outdoor-Schrank.
